Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

XPath, html/body/div[1]/div[4]/label/strong, 0.817, 0.093, 0.000, 0.300
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[4], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[5], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[4], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[5], 0.775, 0.093, 0.000, 0.286
Name, searchstring, 0.000, 0.093, 0.000, 0.031
Name, searchstring, 0.000, 0.093, 0.000, 0.031
XPath, html/body/div[1]/div[4]/label/strong, 0.817, 0.093, 0.000, 0.300
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.093, 0.000, 0.286
Name, searchstring, 0.000, 0.093, 0.000, 0.031
Name, searchstring, 0.000, 0.093, 0.000, 0.031
XPath, .//*[@id='maintable']/tbody/tr[3]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[3]/td[4]/a, 0.800, 0.093, 0.000, 0.295
XPath, .//*[@id='maintable']/tbody/tr[3]/td[5], 0.775, 0.093, 0.000, 0.286
Name, searchstring, 0.000, 0.093, 0.000, 0.031
Name, searchstring, 0.000, 0.093, 0.000, 0.031
XPath, .//*[@id='maintable']/tbody/tr[4]/td[2], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[3], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[4], 0.775, 0.093, 0.000, 0.286
XPath, .//*[@id='maintable']/tbody/tr[4]/td[5], 0.775, 0.093, 0.000, 0.286
