Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

LinkText, stampa tutto, 0.300, 0.094, 0.000, 0.130
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.133, 0.000, 0.300
